MCST TYPE	MCST NUMBER	SUB-MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	NUMBER OF STRATA UNITS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO
 Single Tier Management Corporation	 3513		T10MC0033B	VIDA	5 PECK HAY ROAD 228307	5 PECK HAY ROAD 01-03 SINGAPORE 228307	ACTIVE	137	68848540	30/03/2010	Melana International Pte Ltd	63271110
 Single Tier Management Corporation	 3514		T11MC0032L	THE INSPIRA	11 ARNASALAM CHETTY ROAD 239949	11 ARNASALAM CHETTY ROAD 01-01 SINGAPORE 239949	ACTIVE	120	6884 6692	13/04/2011	Knight Frank Estate Management Pte Ltd	68485678
 Single Tier Management Corporation	 3515		T09MC0106H	THE CENTRAL	6 EU TONG SEN STREET 059817	6 EU TONG SEN STREET B1-58 SINGAPORE 059817	ACTIVE	791	6534-7705	10/12/2009	CB Richard Ellis Pte Ltd	62248181
 2 Tier Management Corporation	 3516		T10MC0004E	YEW TEE POINT / RESIDENCES	21 CHOA CHU KANG NORTH 6 684578	21 CHOA CHU KANG NORTH 6 01-54 SINGAPORE 689578	ACTIVE	142	64651986	12/01/2010		64651986
 2 Tier Management Corporation	 	3516-01	T10SM0001A	YEW TEE POINT	21 CHOA CHU KANG NORTH 6 689578	21 CHOA CHU KANG NORTH 6 02-01 SINGAPORE 689578	ACTIVE	142	64651986	12/01/2010		64651986
 2 Tier Management Corporation	 	3516-02	T10SM0002H	YEW TEE POINT / RESIDENCES	23 CHOA CHU KANG NORTH 6 689580	25 CHOA CHU KANG NORTH 6 03-16 SINGAPORE 689680	ACTIVE	142	63149923	12/01/2010	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 3517		T10MC0037H	NEWTON ONE	1 NEWTON ROAD 307943	1 NEWTON ROAD 01-01 SINGAPORE 307943	ACTIVE	91	6356 8661	31/03/2010	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3518		T09MC0112G	MEYER RESIDENCE 	3 MEYER PLACE 437991	3 MEYER PLACE 01-01 SINGAPORE 437991	ACTIVE	68	63448802	18/12/2009	CORPORATE REAL ESTATE MANAGEMENT SERVICE & RESOURCE CENTRE PTE LTD	67330448
 Single Tier Management Corporation	 3519		T10MC0015F	D'KENARIS	2C JALAN KENARAH 809010	50 CHIN SWEE ROAD 09-02 SINGAPORE 169874	ACTIVE	8	67322220	24/02/2010	Sierra Asset Management Pte Ltd	6732 2220
 Single Tier Management Corporation	 3520		T10MC0034J	LEONIE PARCVIEW	22 LEONIE HILL ROAD 239195	22 LEONIE HILL ROAD 01-01 SINGAPORE 239195	ACTIVE	44	6238 8938 	30/03/2010	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3522		T10MC0012G	AXIS @ SIGLAP	59 EAST COAST TERRACE 458950	59 EAST COAST TERRACE - SINGAPORE 458950	ACTIVE	40	64685100	12/02/2010	Chamber Property Management Services Pte Ltd	64111665
 Single Tier Management Corporation	 3524		T10MC0066E	CASA MEYA	25 MEYAPPA CHETTIAR ROAD 358464	50 CHIN SWEE ROAD 09-02 SINGAPORE 169874	ACTIVE	25	6732 2220	21/07/2010	Sierra Asset Management Pte Ltd	6732 2220
 Single Tier Management Corporation	 3525		T10MC0073L	MILFORD VILLAS	14 LORONG SELANGAT 358707	14 LORONG SELANGAT - SINGAPORE 358707	ACTIVE	13	63345565	20/08/2010	DICKSON FACILITIES & STRATA MANAGEMENT	63345565
 Single Tier Management Corporation	 3526		S1196272F	RIVAGE	4 MARGATE ROAD 438044	4 MARGATE ROAD - SINGAPORE 438044	ACTIVE	17	64411184	31/05/2010	A4 International Pte Ltd	64411184
 Single Tier Management Corporation	 3527		T10MC0061C	ONE ST. MICHAEL'S	1 ST. MICHAELS ROAD 328006	3 ST. MICHAELS ROAD 01-04 SINGAPORE 320087	ACTIVE	131	96702887	30/06/2010	Propmag Property & Facility Pte Ltd	96702887
 Single Tier Management Corporation	 3528		T09MC0114K	THE METROPOLITAN 	6 ALEXANDRA VIEW 158747	8 ALEXANDRA VIEW 01-08 SINGAPORE 158747	ACTIVE	382	62279198	23/12/2009	Abacus Property Management Pte Ltd	65111823
 Single Tier Management Corporation	 3529		T10MC0029F	ENTERPRISE 10	10 ENTERPRISE ROAD 629822	14 ENTERPRISE ROAD 01-01 SINGAPORE 629698	ACTIVE	59	62659431	25/03/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3530		T10MC0068H	THE SIXTH AVENUE RESIDENCES	160 SIXTH AVENUE 276537	170 SIXTH AVENUE 01-24 SINGAPORE 276544	ACTIVE	175	64688932	02/08/2010	SCMS Property Management Pte Ltd	65354600
 Single Tier Management Corporation	 3531		T10MC0032F	CITY REGENCY 	18 ST. MICHAELS ROAD 327977	18 ST. MICHAELS ROAD - SINGAPORE 327977	ACTIVE	56	6665 3880	25/03/2010	Propmag Management Services Pte Ltd	66653880
 Single Tier Management Corporation	 3532		T10MC0030C	IMPERIAL HEIGHTS	16 IPOH LANE 438620	16 IPOH LANE 06- SINGAPORE 438620	ACTIVE	100	6748-8310	25/03/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3533		s8138251d	THE MODULES	387 JOO CHIAT ROAD 427623	387 JOO CHIAT ROAD 01-07 SINGAPORE 427623	ACTIVE	48	62569333	17/03/2010		
 Single Tier Management Corporation	 3534		T10MC0018E	CASA MERAH	50 TANAH MERAH KECHIL AVENUE 465524	58 TANAH MERAH KECHIL AVENUE 01-49 SINGAPORE 465528	ACTIVE	556	68869006	11/03/2010		
 Single Tier Management Corporation	 3535		T10MC0031K	SERANGOON GARDEN VIEW	3/A-E  JALAN HWI YOH 557425	3A JALAN HWI YOH - SINGAPORE 557433	ACTIVE	6	96312780	25/03/2010		
 Single Tier Management Corporation	 3536		T10MC0041D	SERAYA 9	9 SERAYA LANE 437276	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	ACTIVE	22	63345565	07/04/2010	DICKSON FACILITIES & STRATA MANAGEMENT	63345565
 Single Tier Management Corporation	 3537		T10MC0079J	COSMO	18 GUILLEMARD CRESCENT 399914	18 GUILLEMARD CRESCENT 02-01 SINGAPORE 399914	ACTIVE	45	64685100	02/09/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3538		T11MC0120E	ORCHARD VIEW	29 ANGULLIA PARK 239977	29 ANGULLIA PARK 01-01 SINGAPORE 239977	ACTIVE	30	62350238	05/12/2011	DTZ Debenham Ham Tie Leung Property Management Services Pte Ltd	64179225
 Single Tier Management Corporation	 3539		T10MC0039L	THE CENTRIO	53 IRRAWADDY ROAD 329552	53 IRRAWADDY ROAD - SINGAPORE 329552	ACTIVE	53	63488278	03/04/2010	Iland Property Consultants Pte Ltd	63488278
 Single Tier Management Corporation	 3540		T10MC0086D	NORDIX INDUSTRICAL BUILDING	1 WOODLANDS INDUSTRIAL PARK E2 757447	1 WOODLANDS INDUSTRIAL PARK E2 02-01 SINGAPORE 757447	ACTIVE	39	63688318	23/09/2010	Exceltec Property Management Pte Ltd	65665055
 Single Tier Management Corporation	 3541		T10MC0038D	THE TATE RESIDENCES	21 CLAYMORE ROAD 229545	21 CLAYMORE ROAD 01-02 SINGAPORE 229545	ACTIVE	85	65096033	01/04/2010	KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD	62207535
 Single Tier Management Corporation	 3542		T10MC0071H	KIARA TEN	54 LORONG MARZUKI 417138	54 LORONG MARZUKI - SINGAPORE 417138	ACTIVE	10	64685100	13/08/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3543		T10MC0056L	D CASITA	38 LORONG MARZUKI 417104	38 LORONG MARZUKI 01-01 SINGAPORE 417104	ACTIVE	39	62230169	01/06/2010	SunProp Property and Assest Management Consultants Pte Ltd	62230169
 Single Tier Management Corporation	 3544		T10MC0069D	OXFORD SUITES	21 OXFORD ROAD 218817	21 OXFORD ROAD 02-01 SINGAPORE 218817	ACTIVE	60	62956104	07/08/2010	ALPS4 INTERNATIONAL PTE LTD	62562562
 Single Tier Management Corporation	 3545		T10MC0060G	MANAGEMENT CORPN STRATA TITLE PLAN NO 3545	47 MANDALAY ROAD 308227	531 UPPER CROSS STREET 03-52 SINGAPORE 050531	ACTIVE	52	65333375	25/06/2010	Rhodo Property & Estate Management Services Pte Ltd	65333375
 Single Tier Management Corporation	 3546		T10MC0074G	THE MEDALLION	146 BRADDELL ROAD 359929	146-146Q BRADDELL ROAD - SINGAPORE 359929	ACTIVE	16	66653880	25/08/2010	Propmag Property & Facility Pte Ltd	66653880
 Single Tier Management Corporation	 3547		T10MC0035E	TIERRA VUE	36 ST. PATRICKS ROAD 424160	38 ST. PATRICKS ROAD 01-08 SINGAPORE 424162	ACTIVE	129	6555 5165	31/03/2010	RealtyLink Consultancy Pte Ltd	63375277
 Single Tier Management Corporation	 3548		T10MC0064B	CUSCADEN ROYALE	5 CUSCADEN WALK 249696	5 CUSCADEN WALK 01-01 SINGAPORE 249696	ACTIVE	46	67324491	20/07/2010	Pacific Property Management Pte Ltd	68411535/44
 Single Tier Management Corporation	 3549		T10MC0044C	NORTHWOOD	60 JALAN MATA AYER 758158	604 JALAN MATA AYER 01-01 SINGAPORE 759140	ACTIVE	140	68869025	20/04/2010	Knight Frank Estate Management Pte Ltd	68485678
 Single Tier Management Corporation	 3550		T10MC0048J	BOTANNIA	33 WEST COAST PARK 127651	33B WEST COAST PARK 01-44 SINGAPORE 127728	ACTIVE	494	67783118	29/04/2010	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3551		T10MC0019A	ICON	10 GOPENG STREET 078878	10 GOPENG STREET 07-12 SINGAPORE 078878	ACTIVE	728	63278356	12/03/2010	CB Richard Ellis Pte Ltd	62248181
 Single Tier Management Corporation	 3552		T10MC0027C	BLU CORAL	127 LORONG L TELOK KURAU 425562	127 LORONG L TELOK KURAU - SINGAPORE 425562	ACTIVE	79	63389883	19/03/2010	Dawson Property Management Pte Ltd	63389883
 Single Tier Management Corporation	 3553		S1196272F	SUITES @ OWEN	122 OWEN ROAD 218926	122 OWEN ROAD - SINGAPORE 218926	ACTIVE	23	6441 1184	06/01/2011	A4 International Pte Ltd	64411184
 Single Tier Management Corporation	 3554		T10MC0036A	ORANGE GROVE RESIDENCES	27 ORANGE GROVE ROAD 258356	39 ORANGE GROVE ROAD 01-13 SINGAPORE 258362	ACTIVE	60	65098810	31/03/2010	Savills Property Management Pte Ltd	63463238
 Single Tier Management Corporation	 3555		T10MC0049E	HILLCREST VILLA	1 HILLCREST ROAD 288893	1 HILLCREST ROAD - SINGAPORE 288893	ACTIVE	163	64694473	30/04/2010	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3556		T10MC0111B	NORTHSTAR @ AMK	7030 ANG MO KIO AVENUE 5 569880	7030 ANG MO KIO AVENUE 5 01-34 SINGAPORE 569880	ACTIVE	654	65554328	26/11/2010		
 Single Tier Management Corporation	 3557		T10MC0104G	CAIRNHILL RESIDENCES 	31 CAIRNHILL CIRCLE 229774	33 CAIRNHILL CIRCLE 01-04 SINGAPORE 229775	ACTIVE	97	67331696	12/11/2010	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3558		T10MC0026G	THREE BUCKLEY	3 BUCKLEY ROAD 309752	3 BUCKLEY ROAD - SINGAPORE 309752	ACTIVE	11	63387222	18/03/2010	HBA Group Property Consultants Pte Ltd	63387222
 Single Tier Management Corporation	 3559		T10MC0077F	ILLOURA	861 OLD HOLLAND ROAD 278684	861 OLD HOLLAND ROAD 01-31 SINGAPORE 278684	ACTIVE	30	64673089	30/08/2010	Knight Frank Estate Management Pte Ltd	68485678
 Single Tier Management Corporation	 3560		T10MC0059k	PALM GALLERIA	78 LORONG K TELOK KURAU 425701	78/78A LORONG K TELOK KURAU - SINGAPORE 425701	ACTIVE	40	67441083	23/06/2010	Chern Sern Property Services Pte Ltd	67441083
 Single Tier Management Corporation	 3561		T10MC0052E	VOGX	109 DORSET ROAD 219498	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	29	6337 0087	21/05/2010	Earnest Management Services Pte Ltd	63370086
 Single Tier Management Corporation	 3562		T10MC0062K	MANAGEMENT CORPN STRATA TITLE PLAN NO 3562	8 FLORA DRIVE 506941	30 FLORA DRIVE 01-60 SINGAPORE 506952	ACTIVE	472	6509-3045	08/07/2010	Melana International Pte Ltd	63271110
 Single Tier Management Corporation	 3563		T10MC0081B	THE RIVERINE BY THE PARK	398 KALLANG ROAD 339098	398 KALLANG ROAD 01-01 SINGAPORE 339098	ACTIVE	96	6634 9097	04/09/2010	Jones Lang LaSalle Property Consultants Pte Ltd	62203888
 Single Tier Management Corporation	 3564		T10MC0108B	WCEGA PLAZA & TOWER	1 BUKIT BATOK CRESCENT 658064	21 BUKIT BATOK CRESCENT 17-78 SINGAPORE 658065	ACTIVE	910	65617759/60	24/11/2010	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 3565		T10MC0070A	7/A/B/C YONG SIAK STREET	7 YONG SIAK STREET 168646	7A YONG SIAK STREET - SINGAPORE 168644	ACTIVE	4	94505252	12/08/2010		
 Single Tier Management Corporation	 3566		T10MC0075C	3@ SANDSLANDS	3 SANDILANDS ROAD 546066	3 SANDILANDS ROAD 01-00 SINGAPORE 546066	ACTIVE	20	63488278	25/08/2010	Iland Property Consultants Pte Ltd	63488278
 Single Tier Management Corporation	 3567		T10MC0091G	ONE JERVOIS	13 JERVOIS CLOSE 249116	13 JERVOIS CLOSE B1-24 SINGAPORE 249116	ACTIVE	275	65096992	04/10/2010	RealtyLink Consultancy Pte Ltd	63375277
 Single Tier Management Corporation	 3568		T11MC0020C	SOUTHBANK	881 NORTH BRIDGE ROAD 198784	881 NORTH BRIDGE ROAD 09-06 SINGAPORE 198784	ACTIVE	273	68344032	08/03/2011	Exceltec Property Management Pte Ltd	65665055
 Single Tier Management Corporation	 3569		T10MC0057G	STADIA	27 YIO CHU KANG ROAD 545542	27 YIO CHU KANG ROAD - SINGAPORE 545542	ACTIVE	56	90175523	04/06/2010		90175523
 Single Tier Management Corporation	 3570		T10MC0097E	SIGLAP HILL 33	33 SIGLAP HILL 457438	33 SIGLAP HILL - SINGAPORE 456087	ACTIVE	6		19/10/2010	A4 International Pte Ltd	64411184
 Single Tier Management Corporation	 3571		T11MC0025E	THE SOLITAIRE	5 BALMORAL PARK 259866	5 BALMORAL PARK 01-01 SINGAPORE 259866	ACTIVE	59	68846106	23/03/2011	Empire City Consultant Pte Ltd	65130800
 Single Tier Management Corporation	 3572		S1196272F	MANAGEMENT CORPN STRATA TITLE PLAN NO 3572	52 CHUAN HOE AVENUE 456087	52 CHUAN HOE AVENUE - SINGAPORE 456087	ACTIVE	12	6441 1184	22/02/2011	A4 International Pte Ltd	64411184
 Single Tier Management Corporation	 3573		G7200824W	SUITES @ AMBER	30 AMBER ROAD 439874	30 AMBER ROAD - SINGAPORE 439874	ACTIVE	28	64411184	26/08/2010	A4 International Pte Ltd	64411184
 Single Tier Management Corporation	 3574		T10MC0082J	CRYSTAL HEIGHTS	75 PASIR PANJANG HILL 118885	75 PASIR PANJANG HILL - SINGAPORE 118885	ACTIVE	17	68387912	13/09/2010	Hoe-Tan Co (Pte) Ltd	68387912
 Single Tier Management Corporation	 3575		T10MC0101H	CALLIDORA VILLE	19 LORONG N TELOK KURAU 425145	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	34	67441083	10/11/2010	Chern Sern Property Services Pte Ltd	67441083
 Single Tier Management Corporation	 3576		T10MC0051J	THE QUARTZ	53 COMPASSVALE BOW 544985	73 COMPASSVALE BOW 02-40 SINGAPORE 544995	ACTIVE	626	65564962	20/05/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3577		T10MC0050B	8 @ STRATTON	2 STRATTON GREEN 805690	21 BUKIT BATOK CRESCENT 28-83 SINGAPORE 658065	ACTIVE	8	67792711	17/05/2010	Stature Real Estate Enterprises Pte Ltd	67782711
 Single Tier Management Corporation	 3578		T10MC0105C	THE TOP RESIDENCE	47 TO 71 SIMON PLACE 545997	3 PHILLIPS AVENUE 01-01 SINGAPORE 546920	ACTIVE	13	98142241	15/11/2010	Promptserve Property Management Pte Ltd	98142241
 Single Tier Management Corporation	 3579		T10MC0078B	MANAGEMENT CORPN STRATA TITLE PLAN NO 3579	50 SERANGOON AVENUE 4 555856	531 UPPER CROSS STREET 03-52 SINGAPORE 050531	ACTIVE	191	6533 3375	30/08/2010	RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD	65333375
 Single Tier Management Corporation	 3580		T10MC0102D	THE PROMONT	63 CAIRNHILL CIRCLE 229790	701 GEYLANG ROAD 03-04 SINGAPORE 389687	ACTIVE	15	64664703	10/11/2010	Barringham International Property Management Pte Ltd	64664703
 Single Tier Management Corporation	 3581		T13MC0057L	EVERGREEN VIEW	15 LORONG 36 GEYLANG 398150	1557 KEPPEL ROAD 03-05B SINGAPORE 089066	ACTIVE	24	68420768	28/05/2013	Aladdin Management Solutions Pte Ltd	68420768
 Single Tier Management Corporation	 3582		T10MC0119C	SKY@ELEVEN	5 Thomson Lane 297724	7 Thomson Lane 01-04 SINGAPORE 297725	ACTIVE	273	65706901	20/12/2010	Knight Frank Estate Management Pte Ltd	68485667
 Single Tier Management Corporation	 3583		T11MC0043A	ARDMORE II	1 ARDMORE PARK 259962	1 ARDMORE PARK 01-01 SINGAPORE 259962	ACTIVE	118	66348218	10/05/2011	Knight Frank Estate Management Pte Ltd	68485678
 Single Tier Management Corporation	 3584		T10Mc0092	DUNSFOLD 18	41 DUNSFOLD DRIVE 359422	41 DUNSFOLD DRIVE - SINGAPORE 359422	ACTIVE	18		09/10/2010	Abacus Property Management Pte Ltd	65111823
 Single Tier Management Corporation	 3585		T10MC0063F	PRESTIGE LOFT	286 TELOK KURAU ROAD 423911	286 TELOK KURAU ROAD - SINGAPORE 432911	ACTIVE	19	81023619	19/07/2010	Propmag Property & Facility Pte Ltd	66653880
 2 Tier Management Corporation	 3586		T11MC0088A	THE CENTRIS/ JURONG POINT	63 JURONG WEST CENTRAL 3 648331	1 JURONG WEST CENTRAL 2 03-07 SINGAPORE 648886	ACTIVE	952	67928838	05/09/2011		67928838
 2 Tier Management Corporation	 	3586-01	T11SM0008L	THE CENTRIS / JURONG POINT 2	1 JURONG WEST CENTRAL 648886	1 JURONG WEST CENTRAL 2 03-07 SINGAPORE 648886	ACTIVE	952	67928838	05/09/2011	STARMALL PROPERTY MANAGEMENT PTE LTD	67928838
 2 Tier Management Corporation	 	3586-02	T11SM0009G	THE CENTRIS	83 JURONG WEST CENTRAL 3 648341	81 JURONG WEST CENTRAL 3 02-36 SINGAPORE 648340	ACTIVE	952	67902030	05/09/2011	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3587		T10MC0065J	ONE LYNWOOD	1 LYNWOOD GROVE 358647	1J LYNWOOD GROVE - SINGAPORE 358690	ACTIVE	8	67330448	21/07/2010	CORPORATE REAL ESTATE MANAGEMENT SERVICE & RESOURCE CENTRE PTE LTD	67330448
 Single Tier Management Corporation	 3588		S7728574A	THE MARQUE @ IRRAWADDY	8 SHAN ROAD 328108	8 SHAN ROAD 01-01 SINGAPORE 328108	ACTIVE	48	63401047	26/07/2010	DP Property & Facilities Management Pte Ltd	63401047
 Single Tier Management Corporation	 3589		199407946Z	MANAGEMENT CORPN STRATA TITLE PLAN NO 3589	253 PASIR PANJANG ROAD 118618	253 PASIR PANJANG ROAD 04- SINGAPORE 118618	ACTIVE	138	63375277	17/09/2010	RealtyLink Consultancy Pte Ltd	63375277
 Single Tier Management Corporation	 3590		T10MC0080F	EASTBAY	1 TAY LIAN TECK ROAD 455615	1 TAY LIAN TECK ROAD - SINGAPORE 455615	ACTIVE	40	68861936	04/09/2010	Pentagon Property Consultants Pte Ltd	68861936
 Single Tier Management Corporation	 3591		T10MC0088G	TRIBECA	60 KIM SENG ROAD 239497	60 KIM SENG ROAD 01-01 SINGAPORE 239497	ACTIVE	175	65094278	01/10/2010	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3592		T11MC0019F	FONTAINE PARRY	67 POH HUAT ROAD 546776	71 POH HUAT ROAD 01-06 SINGAPORE 546778	ACTIVE	125	6255 7997	07/03/2011	Ace Body Corporate Management Pte Ltd	6255 7997
 Single Tier Management Corporation	 3593		T11MC0068B	MARINA BAY RESIDENCES	18 MARINA BOULEVARD 018980	18 MARINA BOULEVARD 07-01 SINGAPORE 018980	ACTIVE	428	66036000	04/07/2011	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	64179222
 Single Tier Management Corporation	 3594		T11MC0028D	AALTO	191 MEYER ROAD 437980	195 MEYER ROAD B1-01 SINGAPORE 437982	ACTIVE	196	63449378	07/04/2011	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3595		T10MC0103L	SKYPARK @ SOMERSET	22 ST. THOMAS WALK 238107	22 ST. THOMAS WALK - SINGAPORE 238107	ACTIVE	56	67331419	11/11/2010	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 3596		T10MC0118G	CENTURION RESIDENCES	3  PUAY HEE AVENUE 348109	3 - 7 PUAY HEE AVENUE - SINGAPORE 348109	ACTIVE	15	68776597	15/12/2010	Realty International Associates Pte Ltd	68776599
 Single Tier Management Corporation	 3597		T11MC0040B	MANAGEMENT CORPN STRATA TITLE PLAN NO 3597	6A TANJONG RHU ROAD 436884	701 GEYLANG ROAD 03-04 SINGAPORE 389687	ACTIVE	42	6466-4703	05/05/2011	Barringham International Property Management Pte Ltd	64664703
 Single Tier Management Corporation	 3598		T11MC0007J	ONE COMMONWEALTH	1 COMMONWEALTH LANE 149544	1 COMMONWEALTH LANE 01-16 SINGAPORE 149544	ACTIVE	250	64797636	26/01/2011	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3599		T10MC0085H	THE MONTAGE	50 LORONG M TELOK KURAU 425342	50 LORONG M TELOK KURAU 01-02 SINGAPORE 425342	ACTIVE	33	64685100	23/09/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3600		T10MC0072D	IDYLLIC EAST	576 UPPER EAST COAST ROAD 466588	576 UPPER EAST COAST ROAD - SINGAPORE 466588	ACTIVE	34	64685100	17/08/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3601		T11MC0011E	THE AMERY	16 LORONG K TELOK KURAU 425612	701 GEYLANG ROAD 03-04 SINGAPORE 389687	ACTIVE	78	64664703	16/02/2011	Barringham International Property Management Pte Ltd	64664703
 Single Tier Management Corporation	 3602		T10MC0095B	WATERFALL GARDENS	8 FARRER ROAD 268820	14 FARRER ROAD - SINGAPORE 268825	ACTIVE	132	6465 8598  	14/10/2010	Knight Frank Estate Management Pte Ltd	64658598
 Single Tier Management Corporation	 3603		T10MC0120L	MONTEBLEU	8 MINBU ROAD 308162	8 MINBU ROAD 01-01 SINGAPORE 308162	ACTIVE	151	68344520	22/12/2010	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 3604		T11MC0127K	STUDIO @ MARNE	2 MARNE ROAD 208393	2 MARNE ROAD - SINGAPORE 208393	ACTIVE	49	64411184	23/12/2011	A4 International Pte Ltd	64411184
 Single Tier Management Corporation	 3605		T10MC0090L	D PAVILION	803 UPPER SERANGOON ROAD 534163	605B MACPHERSON ROAD 08-11 SINGAPORE 368241	ACTIVE	50	62827937	05/10/2010	OCEAN IFM Pte. Ltd.	62827937
 Single Tier Management Corporation	 3606		T10MC0117L	M21		1014 GEYLANG EAST AVENUE 3 07-216 SINGAPORE 389729	ACTIVE	61	68440801	14/12/2010	Halley Service Pte Ltd	68440801
 Single Tier Management Corporation	 3607		T11MC0021K	MANAGEMENT CORPN STRATA TITLE PLAN NO 3607	31 HARRISON ROAD 369649	31 HARRISON ROAD 08-01 SINGAPORE 369649	ACTIVE	14	6622-6900	10/03/2011		
 Single Tier Management Corporation	 3608		T10MC0089C	WILKIE STUDIO	86 WILKIE ROAD 228096	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	ACTIVE	40	63345565	04/10/2010		
 Single Tier Management Corporation	 3609		T11MC0062D	THE SCENIC@BRADDELL	52 BRADDELL ROAD 359944	52 BRADDELL ROAD - SINGAPORE 359944	ACTIVE	18	65354600	15/06/2011	SunProp Property and Assest Management Consultants Pte Ltd	62230169
 Single Tier Management Corporation	 3610		T10MC0087L	RHAPSODY@ MT ELIZABETH	16 MOUNT ELIZABETH 228513	16 MOUNT ELIZABETH 01-01 SINGAPORE 228513	ACTIVE	32	67357684	28/09/2010	Exceltec Property Management Pte Ltd	65665055
 Single Tier Management Corporation	 3611		T10MC0083E	URBAN LOFTS	87 RANGOON ROAD 218375	83 RANGOON ROAD 02-12 SINGAPORE 218375	ACTIVE	50	63345565	17/09/2010	Dickson Property Consultants Pte Ltd	63345565
 Single Tier Management Corporation	 3612		T10MC0113E	VERSILIA ON HAIG	31 IPOH LANE 438639	31 IPOH LANE 01-01 SINGAPORE 438639	ACTIVE	128	66341901	06/12/2010		
 Single Tier Management Corporation	 3613		T10MC0093K	WHITLEY VILLAS	115 WHITLEY ROAD 297841	115 WHITLEY ROAD - SINGAPORE 	ACTIVE	10	64685100	12/10/2010	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 3615		T11MC0031D	SUITES@CAIRNHILL	138 CAIRNHILL ROAD 299719	138 CAIRNHILL ROAD 02-01 SINGAPORE 229719	ACTIVE	48	6834 4026	08/04/2011	Property Facility Serivces Pte Ltd	62211313
 Single Tier Management Corporation	 3616		T11MC0102J	RESIDENCES @ SOMME	3 PETAIN ROAD 208108	3 PETAIN ROAD 02-01 SINGAPORE 208108	ACTIVE	31	6535 4600	03/11/2011	SCMS Property Management Pte Ltd	65354600
 Single Tier Management Corporation	 3617		T11MC0003C	D OASIA	11 LORONG MELAYU 416905	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	32	68421731	10/01/2011	Landsfield Property Management Pte Ltd	68421731
 Single Tier Management Corporation	 3618		T11MC0055J			51 TELOK AYER STREET - SINGAPORE 048441	ACTIVE	4	65330578	06/06/2011		
 Single Tier Management Corporation	 3619		T10MC0116D	THE OCEANFRONT @ SENTOSA COVE	281 OCEAN DRIVE 098527	281 OCEAN DRIVE - SINGAPORE 098527	ACTIVE	264	6884 9548	14/12/2010	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	64176229
 Single Tier Management Corporation	 3620		T10MC0100A	PARKVIEW ECLAT	138 GRANGE ROAD 249617	138 GRANGE ROAD - SINGAPORE 249617	ACTIVE	35	6733 8507	09/11/2010	Chyau Fwu Property Management Pte Ltd	63964400
 Single Tier Management Corporation	 3623		T11MC0119H	THE ESTRELLA	342 PASIR PANJANG ROAD 118676	100C PASIR PANJANG ROAD - SINGAPORE 118519	ACTIVE	55	65355222	02/12/2011	Aces Assets Management Pte Ltd	63550910
 Single Tier Management Corporation	 3624		T10MC114A	GRAND DUCHESS AT ST. PATRICKS	134 ST. PATRICKS ROAD 424213	229 MOUNTBATTEN ROAD 03-36 SINGAPORE 398007	ACTIVE	121	6256 9333	07/12/2010	Newman & Goh Property Consultants Pte Ltd	62569333
